"hour","Terros_10E_wp","Terros_30E_wp","Terros50E_wp","Terros_10E_t","Terros_30E_t","Terros_50E_t"
2023-08-17 10:00:00,-11.2666666666667,-4.7,-0.9,15.3,15,14.4
2023-08-17 11:00:00,-11.3416666666667,-4.43333333333333,-0.9,15.3,15,14.4
2023-08-17 12:00:00,-11.3583333333333,-4.125,-0.808333333333333,15.3,15,14.4
2023-08-17 13:00:00,-11.3416666666667,-3.80833333333333,-0.775,15.3,15,14.4
2023-08-17 14:00:00,-11.45,-3.48333333333333,-0.7,15.3,15,14.4
2023-08-17 15:00:00,-11.4166666666667,-3.25833333333333,-0.7,15.3,15,14.4
2023-08-17 16:00:00,-11.375,-3.08333333333333,-0.633333333333333,15.3,15,14.4
2023-08-17 17:00:00,-11.35,-2.96666666666667,-0.6,15.3,15,14.4
2023-08-17 18:00:00,-11.425,-2.88333333333333,-0.6,15.3,15,14.4
2023-08-17 19:00:00,-11.3833333333333,-2.8,-0.6,15.3,15,14.4
2023-08-17 20:00:00,-11.3416666666667,-2.70833333333333,-0.6,15.3,15,14.4
2023-08-17 21:00:00,-11.3916666666667,-2.7,-0.6,15.3,15,14.4
2023-08-17 22:00:00,-11.3333333333333,-2.675,-0.6,15.3,15,14.4
2023-08-17 23:00:00,-11.4666666666667,-2.6,-0.6,15.3,15,14.4
2023-08-18,-11.3916666666667,-2.6,-0.6,15.3,15,14.4
2023-08-18 01:00:00,-11.4416666666667,-2.55833333333333,-0.525,15.2083333333333,15,14.4
2023-08-18 02:00:00,-11.5,-2.5,-0.5,15.2,15,14.4
2023-08-18 03:00:00,-11.4166666666667,-2.5,-0.5,15.2,15,14.4
2023-08-18 04:00:00,-11.3916666666667,-2.5,-0.5,15.2,15,14.4
2023-08-18 05:00:00,-11.4416666666667,-2.5,-0.5,15.2,15,14.4
2023-08-18 06:00:00,-11.3916666666667,-2.5,-0.5,15.2,15,14.4
2023-08-18 07:00:00,-11.525,-2.475,-0.5,15.2,14.9333333333333,14.4
2023-08-18 08:00:00,-11.3583333333333,-2.325,-0.5,15.2,14.9,14.4
