"hour","Gage_ft","Discharge_cfs","Discharge_ls"
1995-01-01 05:00:00,0.264,0.1698,4.8082
1995-01-01 11:00:00,0.266,0.173,4.8988
1995-01-01 17:00:00,0.266,0.173,4.8988
1995-01-02,0.264,0.1698,4.8082
1995-01-02 05:00:00,0.262,0.1667,4.7204
1995-01-02 12:00:00,0.261,0.1651,4.6751
1995-01-02 18:00:00,0.255,0.156,4.4174
1995-01-03,0.254,0.1545,4.3749
1995-01-03 05:00:00,0.25,0.1486,4.2079
1995-01-03 11:00:00,0.245,0.1414,4.004
1995-01-03 13:00:00,0.244,0.14,3.9644
1995-01-03 18:00:00,0.238,0.1317,3.7293
1995-01-04,0.232,0.1237,3.5028
1995-01-04 06:00:00,0.226,0.116,3.2847
1995-01-04 11:00:00,0.22,0.1086,3.0752
1995-01-04 18:00:00,0.215,0.1027,2.9081
1995-01-05,0.213,0.1004,2.843
1995-01-05 06:00:00,0.211,0.0981,2.7779
1995-01-05 12:00:00,0.211,0.0981,2.7779
1995-01-05 18:00:00,0.21,0.0969,2.7439
1995-01-06,0.209,0.0958,2.7127
1995-01-06 05:00:00,0.209,0.0958,2.7127
1995-01-06 11:00:00,0.209,0.0958,2.7127
1995-01-06 17:00:00,0.209,0.0958,2.7127
1995-01-07,0.21,0.0969,2.7439
1995-01-07 05:00:00,0.209,0.0958,2.7127
1995-01-07 11:00:00,0.208,0.0947,2.6816
1995-01-07 17:00:00,0.207,0.0936,2.6505
1995-01-08,0.207,0.0936,2.6505
1995-01-08 06:00:00,0.206,0.0925,2.6193
1995-01-08 11:00:00,0.204,0.0903,2.557
1995-01-08 17:00:00,0.202,0.0881,2.4947
1995-01-09,0.201,0.0871,2.4664
1995-01-09 05:00:00,0.199,0.085,2.4069
1995-01-09 12:00:00,0.196,0.0819,2.3191
1995-01-09 18:00:00,0.195,0.0809,2.2908
1995-01-10,0.193,0.0788,2.2314
1995-01-10 05:00:00,0.192,0.0778,2.203
1995-01-10 11:00:00,0.192,0.0778,2.203
1995-01-10 18:00:00,0.192,0.0778,2.203
1995-01-11,0.192,0.0778,2.203
1995-01-11 06:00:00,0.192,0.0778,2.203
1995-01-11 12:00:00,0.192,0.0778,2.203
1995-01-11 18:00:00,0.193,0.0788,2.2314
1995-01-12,0.193,0.0788,2.2314
1995-01-12 06:00:00,0.192,0.0778,2.203
1995-01-12 12:00:00,0.192,0.0778,2.203
1995-01-12 18:00:00,0.193,0.0788,2.2314
1995-01-13,0.193,0.0788,2.2314
1995-01-13 02:00:00,0.191,0.0769,2.1776
1995-01-13 03:00:00,0.213,0.1004,2.843
1995-01-13 04:00:00,0.251,0.15,4.2475
1995-01-13 05:00:00,0.278,0.1927,5.4566
1995-01-13 07:00:00,0.303,0.2379,6.7366
1995-01-13 09:00:00,0.32,0.272,7.7022
1995-01-13 10:00:00,0.331,0.2954,8.3648
1995-01-13 11:00:00,0.357,0.3555,10.0666
1995-01-13 13:00:00,0.376,0.4037,11.4315
1995-01-13 15:00:00,0.393,0.4499,12.7397
1995-01-13 16:00:00,0.406,0.4872,13.7959
1995-01-13 18:00:00,0.416,0.5171,14.6426
1995-01-13 19:00:00,0.427,0.5512,15.6082
1995-01-13 21:00:00,0.4525,1.2711,35.9935
1995-01-13 23:00:00,0.514,0.8681,24.5818
1995-01-14,0.526,0.9185,26.009
1995-01-14 01:00:00,0.57,1.1183,31.6667
1995-01-14 03:00:00,0.59,1.2168,34.4559
1995-01-14 04:00:00,0.604,1.2887,36.4919
1995-01-14 06:00:00,0.614,1.3416,37.9898
1995-01-14 07:00:00,0.622,1.3848,39.2131
1995-01-14 09:00:00,0.631,1.4344,40.6176
1995-01-14 10:00:00,0.642,1.4964,42.3733
1995-01-14 12:00:00,0.656,1.5776,44.6726
1995-01-14 13:00:00,0.67,1.6613,47.0427
1995-01-14 15:00:00,0.684,1.7477,49.4893
1995-01-14 16:00:00,0.701,1.856,52.556
1995-01-14 18:00:00,0.717,1.9614,55.5406
1995-01-14 19:00:00,0.737,2.0981,59.4115
1995-01-14 21:00:00,0.757,2.2403,63.4381
1995-01-14 22:00:00,0.777,2.3881,67.6234
1995-01-15,0.798,2.5492,72.1852
1995-01-15 01:00:00,0.821,2.7329,77.387
1995-01-15 03:00:00,0.834,2.8401,80.4225
1995-01-15 04:00:00,0.842,2.9073,82.3254
1995-01-15 06:00:00,0.8525,5.9943,169.7394
1995-01-15 08:00:00,0.892,3.3485,94.8188
1995-01-15 09:00:00,0.927,3.6794,104.1888
1995-01-15 10:00:00,0.967,4.0805,115.5467
1995-01-15 12:00:00,0.999,4.4192,125.1376
1995-01-15 13:00:00,1.024,4.6949,132.9445
1995-01-15 14:00:00,1.033,4.7966,135.8244
1995-01-15 15:00:00,1.036,4.8308,136.7928
1995-01-15 18:00:00,1.0345,9.6274,272.6172
1995-01-15 20:00:00,1.049,4.9806,141.0347
1995-01-15 22:00:00,1.084,5.3975,152.8399
1995-01-16,1.1,5.5947,158.424
1995-01-16 01:00:00,1.121,5.8599,165.9336
1995-01-16 02:00:00,1.1215,11.7326,332.2297
1995-01-16 03:00:00,1.113,5.758,163.0481
1995-01-16 04:00:00,1.092,5.4955,155.615
1995-01-16 06:00:00,1.069,5.2164,147.7118
1995-01-16 07:00:00,1.04,4.8766,138.0897
1995-01-16 09:00:00,1.001,4.4409,125.7521
1995-01-16 10:00:00,0.975,4.1637,117.9027
1995-01-16 12:00:00,0.952,3.9272,111.2057
1995-01-16 13:00:00,0.944,3.8469,108.9319
1995-01-16 15:00:00,0.950666666666667,11.7416,332.4845
1995-01-16 16:00:00,1.07033333333333,15.7904,447.1336
1995-01-16 17:00:00,1.30366666666667,25.5538,723.6019
1995-01-16 18:00:00,1.443,10.8754,307.9565
1995-01-16 19:00:00,1.498,11.9188,337.5023
1995-01-16 20:00:00,1.539,12.7336,360.5748
1995-01-16 21:00:00,1.554,39.1195,1107.739
1995-01-16 22:00:00,1.529,12.5319,354.8633
1995-01-16 23:00:00,1.449,10.9865,311.1025
1995-01-17,1.404,10.1696,287.9705
1995-01-17 01:00:00,1.299,8.4068,238.0537
1995-01-17 03:00:00,1.199,6.9093,195.6493
1995-01-17 04:00:00,1.138,6.0799,172.1633
1995-01-17 06:00:00,1.079,5.3367,151.1183
1995-01-17 07:00:00,1.027,4.7287,133.9017
1995-01-17 08:00:00,1,4.43,125.4434
1995-01-17 09:00:00,0.974,4.1532,117.6053
1995-01-17 10:00:00,0.932,3.7282,105.5707
1995-01-17 12:00:00,0.897,3.3946,96.1242
1995-01-17 13:00:00,0.867,3.1233,88.4419
1995-01-17 14:00:00,0.8555,6.0463,171.2119
1995-01-17 17:00:00,0.798,2.5492,72.1852
1995-01-17 21:00:00,0.749,2.1828,61.8099
1995-01-18,0.708,1.9017,53.8501
1995-01-18 02:00:00,0.671,1.6674,47.2154
1995-01-18 05:00:00,0.639,1.4794,41.8919
1995-01-18 08:00:00,0.613,1.3363,37.8397
1995-01-18 11:00:00,0.589,1.2118,34.3143
1995-01-18 15:00:00,0.57,1.1183,31.6667
1995-01-18 18:00:00,0.551,1.0292,29.1437
1995-01-18 21:00:00,0.533,0.9488,26.867
1995-01-19,0.518,0.8847,25.0519
1995-01-19 02:00:00,0.502,0.8193,23.2
1995-01-19 05:00:00,0.489,0.7683,21.7558
1995-01-19 08:00:00,0.477,0.7229,20.4702
1995-01-19 12:00:00,0.468,0.69,19.5386
1995-01-19 14:00:00,0.46,0.6615,18.7316
1995-01-19 18:00:00,0.451,0.6302,17.8452
1995-01-19 21:00:00,0.443,0.6032,17.0807
1995-01-20,0.437,0.5834,16.52
1995-01-20 03:00:00,0.431,0.5639,15.9678
1995-01-20 06:00:00,0.427,0.5512,15.6082
1995-01-20 08:00:00,0.423,0.5387,15.2543
1995-01-20 12:00:00,0.422,0.5355,15.1636
1995-01-20 15:00:00,0.423,0.5387,15.2543
1995-01-20 16:00:00,0.427,0.5512,15.6082
1995-01-20 17:00:00,0.5035,1.6744,47.4136
1995-01-20 18:00:00,0.724,6.1058,172.8967
1995-01-20 19:00:00,0.949,7.8324,221.7885
1995-01-20 20:00:00,1.127,11.8869,336.5989
1995-01-20 21:00:00,1.223,14.5157,411.0382
1995-01-20 22:00:00,1.273,8.0007,226.5542
1995-01-20 23:00:00,1.29,16.5299,468.0739
1995-01-21,1.2745,16.0489,454.4535
1995-01-21 01:00:00,1.225,7.282,206.2029
1995-01-21 02:00:00,1.164,12.8582,364.1031
1995-01-21 03:00:00,1.098,5.5698,157.7189
1995-01-21 04:00:00,1.058,5.0859,144.0164
1995-01-21 05:00:00,1.0125,9.137,258.7306
1995-01-21 07:00:00,0.945,3.8569,109.2151
1995-01-21 08:00:00,0.895,3.3761,95.6003
1995-01-21 10:00:00,0.854,3.0098,85.2279
1995-01-21 11:00:00,0.817,2.7004,76.4667
1995-01-21 13:00:00,0.784,2.4411,69.1241
1995-01-21 14:00:00,0.759,2.2548,63.8487
1995-01-21 16:00:00,0.731,2.0565,58.2335
1995-01-21 18:00:00,0.704,1.8755,53.1082
1995-01-21 19:00:00,0.687,1.7665,50.0216
1995-01-21 21:00:00,0.669,1.6553,46.8728
1995-01-21 22:00:00,0.649,1.5367,43.5144
1995-01-22,0.633,1.4456,40.9348
1995-01-22 03:00:00,0.602,1.2783,36.1974
1995-01-22 05:00:00,0.577,1.1522,32.6266
1995-01-22 08:00:00,0.554,1.0429,29.5316
1995-01-22 11:00:00,0.535,0.9575,27.1133
1995-01-22 14:00:00,0.52,0.8931,25.2897
1995-01-22 18:00:00,0.504,0.8273,23.4265
1995-01-22 21:00:00,0.49,0.7721,21.8634
1995-01-23,0.478,0.7266,20.575
1995-01-23 06:00:00,0.454,0.6405,18.1369
1995-01-23 12:00:00,0.437,0.5834,16.52
1995-01-23 18:00:00,0.418,0.5232,14.8153
1995-01-24,0.402,0.4755,13.4646
1995-01-24 02:00:00,0.391,0.4443,12.5812
1995-01-24 05:00:00,0.385,0.4278,12.1139
1995-01-24 08:00:00,0.381,0.417,11.8081
1995-01-24 10:00:00,0.381,0.417,11.8081
1995-01-24 12:00:00,0.383,0.4223,11.9582
1995-01-24 14:00:00,0.38,0.4143,11.7317
1995-01-24 16:00:00,0.375,0.4011,11.3579
1995-01-24 19:00:00,0.364,0.3729,10.5593
1995-01-24 22:00:00,0.36,0.3629,10.2762
1995-01-25,0.357,0.3555,10.0666
1995-01-25 06:00:00,0.348,0.334,9.4578
