"hour","water table depth (cm)","temp (c)"
2020-11-12 12:00:00,109.36,8.28
2020-11-12 13:00:00,109.65,8.28
2020-11-12 14:00:00,110,8.28
2020-11-12 15:00:00,110.408333333333,8.28
2020-11-12 16:00:00,110.566666666667,8.28
2020-11-12 17:00:00,111.048333333333,8.28
2020-11-12 18:00:00,110.908333333333,8.27416666666667
2020-11-12 19:00:00,111.2325,8.27
2020-11-12 20:00:00,111.300833333333,8.27
2020-11-12 21:00:00,111.691666666667,8.27
2020-11-12 22:00:00,111.984166666667,8.27
2020-11-12 23:00:00,112.080833333333,8.27
2020-11-13,112.1225,8.27
2020-11-13 01:00:00,112.336666666667,8.27
2020-11-13 02:00:00,112.425833333333,8.27
2020-11-13 03:00:00,112.334166666667,8.27
2020-11-13 04:00:00,112.815833333333,8.2675
2020-11-13 05:00:00,113.028333333333,8.26
2020-11-13 06:00:00,112.919166666667,8.26
2020-11-13 07:00:00,113.271666666667,8.26
2020-11-13 08:00:00,113.3475,8.26
2020-11-13 09:00:00,113.34,8.26
2020-11-13 10:00:00,113.155,8.26
2020-11-13 11:00:00,112.815833333333,8.26
2020-11-13 12:00:00,112.9075,8.26
2020-11-13 13:00:00,113.0725,8.26
2020-11-13 14:00:00,113.439166666667,8.26
2020-11-13 15:00:00,120.405,8.26
2020-11-13 16:00:00,114.0525,8.26
2020-11-13 17:00:00,114.5575,8.26
2020-11-13 18:00:00,115.131666666667,8.26
2020-11-13 19:00:00,115.059166666667,8.25833333333333
2020-11-13 20:00:00,115.119166666667,8.25083333333333
2020-11-13 21:00:00,115.360833333333,8.25
2020-11-13 22:00:00,115.4925,8.25
2020-11-13 23:00:00,115.653333333333,8.25
2020-11-14,115.9025,8.25
2020-11-14 01:00:00,116.233333333333,8.25
2020-11-14 02:00:00,116.665,8.25
2020-11-14 03:00:00,116.946666666667,8.25
2020-11-14 04:00:00,117.141666666667,8.25
2020-11-14 05:00:00,117.5225,8.25
2020-11-14 06:00:00,117.805,8.25
2020-11-14 07:00:00,118.3075,8.25
2020-11-14 08:00:00,118.541666666667,8.25
2020-11-14 09:00:00,118.854166666667,8.25
2020-11-14 10:00:00,119.026666666667,8.25
2020-11-14 11:00:00,118.845,8.25
2020-11-14 12:00:00,118.9675,8.25
2020-11-14 13:00:00,119.394166666667,8.25
2020-11-14 14:00:00,119.8125,8.25
2020-11-14 15:00:00,120.23,8.25
2020-11-14 16:00:00,120.553333333333,8.25
2020-11-14 17:00:00,120.665,8.25
2020-11-14 18:00:00,120.988333333333,8.25
2020-11-14 19:00:00,121.323333333333,8.24833333333333
2020-11-14 20:00:00,121.700833333333,8.2425
2020-11-14 21:00:00,121.570833333333,8.24
2020-11-14 22:00:00,121.329166666667,8.24
2020-11-14 23:00:00,121.545833333333,8.24
2020-11-15,121.7925,8.24
